استان,98/12/07,98/12/08,98/12/09,98/12/10,98/12/11,98/12/12,98/12/13,98/12/14,98/12/15,98/12/16,98/12/17,98/12/18,98/12/19,98/12/20,98/12/21,98/12/22,98/12/23,98/12/24,98/12/25,98/12/26,98/12/27,98/12/28,98/12/29,99/01/01,99/01/02,99/01/03
کل کشور,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638
آذربایجان شرقی,0,2,6,12,12,12,46,55,65,75,77,107,129,146,175,182,279,338,374,409,487,571,629,684,756,813
آذربایجان غربی,0,1,1,1,1,5,5,5,10,11,33,40,69,73,100,119,144,175,193,224,258,300,326,353,367,395
اردبیل,1,6,7,10,10,10,12,12,26,40,41,50,72,91,92,106,121,154,154,184,203,213,229,264,270,289
اصفهان,2,10,20,32,45,68,120,120,238,388,484,564,601,618,788,792,902,1057,1183,1301,1376,1538,1646,1791,1892,1979
البرز,3,5,8,16,47,57,93,112,173,302,305,307,307,339,374,458,464,598,665,714,830,906,967,1062,1117,1177
ایلام,0,0,0,1,2,4,4,11,11,13,15,15,31,56,62,69,77,83,101,103,110,120,128,148,166,183
بوشهر,0,0,0,0,0,0,0,0,3,5,8,10,11,18,18,21,21,28,34,38,42,46,54,55,55,55
تهران,26,64,128,180,350,575,1043,1296,1352,1413,1539,1805,1945,2114,2370,2673,2976,3323,3574,3774,4047,4260,4439,4617,4849,5098
چهارمحال و بختیاری,0,0,0,0,0,0,0,1,9,14,16,21,26,37,38,49,49,49,49,52,54,58,61,64,66,68
خراسان جنوبی,0,0,0,1,3,6,6,6,15,18,18,44,37,51,66,78,78,82,100,107,119,140,145,163,163,178
خراسان رضوی,1,2,2,2,19,25,28,36,89,89,135,154,183,222,256,285,395,425,568,568,631,661,711,759,816,858
خراسان شمالی,0,0,0,0,0,0,0,1,3,15,23,24,34,34,45,45,45,46,52,97,100,100,121,138,139,165
خوزستان,3,3,6,10,19,31,35,62,63,63,64,69,73,110,127,158,173,221,253,306,331,359,381,391,422,444
زنجان,0,0,0,0,0,0,2,8,15,50,52,53,68,79,101,118,138,169,201,216,241,261,287,331,366,395
سمنان,2,4,6,10,13,13,30,38,60,114,138,175,220,221,284,324,362,409,450,484,517,577,593,645,645,645
سیستان و بلوچستان,2,2,2,3,4,5,6,14,19,21,34,34,34,40,44,50,52,54,60,71,82,88,106,114,119,134
فارس,3,3,3,11,19,27,35,49,68,81,95,104,133,151,170,199,232,243,252,295,326,386,407,457,479,505
قزوین,5,0,2,8,8,26,55,89,111,176,178,207,247,257,284,326,338,385,407,447,473,526,573,581,640,669
قم,63,72,88,109,139,201,253,354,383,523,668,685,712,751,804,846,888,920,1004,1023,1052,1074,1105,1141,1161,1178
كردستان,0,1,3,8,8,8,8,12,18,42,44,63,66,78,84,93,102,107,134,165,167,189,200,215,222,238
كرمان,0,0,0,0,2,4,4,18,18,25,40,41,36,40,58,65,77,77,84,97,116,127,141,153,161,169
کرمانشاه,2,3,3,3,5,6,7,22,22,27,31,33,44,51,59,79,94,102,115,136,145,152,158,163,168,175
کهگیلویه و بویراحمد,1,2,2,2,2,2,2,2,2,6,6,9,9,11,11,26,26,26,27,32,32,45,60,61,73,73
گلستان,0,0,2,24,24,24,24,33,37,104,162,175,175,179,188,213,234,234,259,301,331,351,360,375,381,391
گیلان,17,40,65,82,110,163,218,253,333,424,494,496,524,524,918,613,684,797,840,858,903,924,997,1096,1153,1191
لرستان,1,4,4,4,12,12,14,19,30,80,107,144,151,176,185,210,235,237,289,289,324,363,400,409,443,476
مازندران,4,11,20,32,43,55,62,71,121,301,606,620,633,886,918,997,1189,1206,1278,1374,1433,1494,1552,1636,1664,1700
مرکزی,5,5,5,23,67,85,141,149,180,228,265,335,389,416,447,535,583,698,698,712,759,782,829,846,846,882
هرمزگان,2,2,2,2,4,11,11,11,13,19,30,35,52,69,79,79,83,83,90,106,112,124,129,146,146,148
همدان,1,2,2,2,5,5,10,10,16,23,34,60,60,77,84,96,106,113,124,131,142,155,175,197,224,243
یزد,0,1,1,5,5,6,7,7,7,57,81,87,90,127,150,171,217,290,326,377,426,471,540,589,641,725